Quarter,Time,Tm,Detail,TAM,CAR
1,4:29,Buccaneers,Mike Evans 2 yard pass from Baker Mayfield (Chase McLaughlin kick),7,0
,0:48,Panthers,Eddy Pi̱eiro 47 yard field goal,7,3
2,7:45,Panthers,Bryce Young 10 yard rush (Eddy Pi̱eiro kick),7,10
,3:39,Buccaneers,Chase McLaughlin 27 yard field goal,10,10
,0:05,Panthers,Eddy Pi̱eiro 27 yard field goal,10,13
3,0:19,Panthers,Eddy Pi̱eiro 22 yard field goal,10,16
4,8:53,Buccaneers,Bucky Irving 6 yard rush (Chase McLaughlin kick),17,16
,3:05,Buccaneers,Chase McLaughlin 26 yard field goal,20,16
,0:30,Panthers,Adam Thielen 25 yard pass from Bryce Young (Eddy Pi̱eiro kick),20,23
,0:00,Buccaneers,Chase McLaughlin 51 yard field goal,23,23
OT,2:50,Buccaneers,Chase McLaughlin 30 yard field goal,26,23
