Quarter,Time,Tm,Detail,CIN,NYG
1.0,11:32,Bengals,Joe Burrow 47 yard rush (Evan McPherson kick),7,0
3.0,5:48,Giants,Tyrone Tracy Jr. 1 yard rush (Greg Joseph kick),7,7
,0:41,Bengals,Evan McPherson 37 yard field goal,10,7
4.0,1:52,Bengals,Chase Brown 30 yard rush (Evan McPherson kick),17,7
