Quarter,Time,Tm,Detail,DEN,NOR
1.0,5:28,Broncos,Wil Lutz 46 yard field goal,3,0
2.0,13:24,Broncos,Wil Lutz 32 yard field goal,6,0
,7:30,Broncos,Javonte Williams 8 yard rush (Wil Lutz kick),13,0
,1:57,Saints,Blake Grupe 35 yard field goal,13,3
,0:16,Broncos,Wil Lutz 52 yard field goal,16,3
3.0,10:24,Broncos,Wil Lutz 38 yard field goal,19,3
,5:53,Broncos,Javonte Williams 5 yard rush (Wil Lutz kick),26,3
4.0,4:06,Broncos,Cody Barton 52 yard fumble return (Wil Lutz kick),33,3
,1:22,Saints,Cedrick Wilson Jr. 12 yard pass from Jake Haener (Blake Grupe kick),33,10
