Quarter,Time,Tm,Detail,CIN,DAL
1.0,8:55,Cowboys,CeeDee Lamb 11 yard pass from Cooper Rush (Brandon Aubrey kick),0,7
,2:45,Bengals,Ja'Marr Chase 5 yard pass from Joe Burrow (Cade York kick),7,7
2.0,6:23,Cowboys,Brandon Aubrey 35 yard field goal,7,10
,3:30,Bengals,Chase Brown 19 yard pass from Joe Burrow (Cade York kick),14,10
,0:30,Bengals,Cade York 37 yard field goal,17,10
3.0,10:32,Cowboys,Brandin Cooks 3 yard pass from Cooper Rush (Brandon Aubrey kick),17,17
4.0,14:55,Cowboys,Brandon Aubrey 47 yard field goal,17,20
,10:24,Bengals,Cade York 29 yard field goal,20,20
,1:01,Bengals,Ja'Marr Chase 40 yard pass from Joe Burrow (Cade York kick),27,20
