Quarter,Time,Tm,Detail,HOU,KAN
1.0,6:31,Chiefs,Patrick Mahomes 15 yard rush (Harrison Butker kick),0,7
,3:08,Texans,Ka'imi Fairbairn 33 yard field goal,3,7
2.0,10:09,Texans,Dalton Schultz 10 yard pass from C.J. Stroud (Ka'imi Fairbairn kick),10,7
,4:38,Chiefs,Kareem Hunt 3 yard rush (Harrison Butker kick),10,14
,0:19,Chiefs,Harrison Butker 44 yard field goal,10,17
3.0,11:40,Texans,Tank Dell 30 yard pass from C.J. Stroud (Ka'imi Fairbairn kick failed),16,17
,2:42,Chiefs,Xavier Worthy 8 yard pass from Patrick Mahomes (Harrison Butker kick),16,24
4.0,11:51,Texans,Ka'imi Fairbairn 38 yard field goal,19,24
,5:18,Chiefs,Harrison Butker 27 yard field goal,19,27
