Quarter,Time,Tm,Detail,CLE,JAX
1.0,2:29,Browns,Deshaun Watson 1 yard rush (Dustin Hopkins kick),7,0
2.0,9:52,Browns,Dustin Hopkins 53 yard field goal,10,0
,4:44,Jaguars,Cam Little 22 yard field goal,10,3
,0:27,Browns,Dustin Hopkins 38 yard field goal,13,3
3.0,10:20,Browns,Dustin Hopkins 44 yard field goal,16,3
,1:11,Jaguars,Travis Etienne 4 yard rush (Cam Little kick),16,10
4.0,7:32,Jaguars,Cam Little 25 yard field goal,16,13
,1:44,Browns,"Safety, Trevor Lawrence sacked in end zone by Alex Wright",18,13
