Quarter,Time,Tm,Detail,KAN,CLE
1.0,12:12,Chiefs,JuJu Smith-Schuster 7 yard pass from Patrick Mahomes (Harrison Butker kick),7,0
2.0,4:46,Chiefs,Noah Gray 6 yard pass from Patrick Mahomes (Harrison Butker kick),14,0
3.0,12:59,Chiefs,Xavier Worthy 21 yard rush (Harrison Butker kick),21,0
,3:16,Browns,Jerome Ford 62 yard rush (Riley Patterson kick),21,7
