Quarter,Time,Tm,Detail,CAR,ATL
1,11:08,Falcons,Riley Patterson 31 yard field goal,0,3
,7:03,Panthers,Eddy Pi̱eiro 35 yard field goal,3,3
2,10:47,Panthers,Bryce Young 2 yard rush (Eddy Pi̱eiro kick),10,3
,5:27,Falcons,Michael Penix 5 yard rush (Riley Patterson kick),10,10
,2:48,Panthers,Miles Sanders 33 yard pass from Bryce Young (Eddy Pi̱eiro kick),17,10
,1:34,Falcons,Bijan Robinson 3 yard rush (Riley Patterson kick),17,17
,0:03,Falcons,Drake London 20 yard pass from Michael Penix (Riley Patterson kick),17,24
3,10:43,Panthers,Tommy Tremble 12 yard pass from Bryce Young (Eddy Pi̱eiro kick),24,24
,1:02,Panthers,David Moore 9 yard pass from Bryce Young (Eddy Pi̱eiro kick),31,24
4,9:50,Falcons,Drake London 21 yard pass from Michael Penix (Riley Patterson kick),31,31
,4:01,Panthers,Bryce Young 10 yard rush (Eddy Pi̱eiro kick),38,31
,0:46,Falcons,Bijan Robinson 4 yard rush (Riley Patterson kick),38,38
OT,3:14,Panthers,Miles Sanders 1 yard rush,44,38
