Quarter,Time,Tm,Detail,LAR,SEA
2,3:31,Rams,Joshua Karty 38 yard field goal,3,0
,0:51,Seahawks,Tyler Lockett 30 yard pass from Geno Smith (Jason Myers kick failed),3,6
,0:05,Seahawks,Jaxon Smith-Njigba 24 yard pass from Geno Smith (Jason Myers kick),3,13
3,8:28,Rams,Demarcus Robinson 1 yard pass from Matthew Stafford (Joshua Karty kick),10,13
,0:27,Rams,Joshua Karty 21 yard field goal,13,13
4,10:59,Rams,Kamren Kinchens 103 yard interception return (Joshua Karty kick),20,13
,0:51,Seahawks,Jaxon Smith-Njigba 14 yard pass from Geno Smith (Jason Myers kick),20,20
OT,4:57,Rams,Demarcus Robinson 39 yard pass from Matthew Stafford,26,20
