Quarter,Time,Tm,Detail,IND,DEN
1.0,10:52,Colts,Anthony Richardson 23 yard rush (Matt Gay kick),7,0
2.0,14:49,Colts,Matt Gay 37 yard field goal,10,0
,5:29,Broncos,Adam Trautman 13 yard pass from Bo Nix (Wil Lutz kick),10,7
,0:06,Colts,Matt Gay 49 yard field goal,13,7
3.0,5:18,Broncos,Wil Lutz 44 yard field goal,13,10
4.0,13:51,Broncos,Nate Adkins 15 yard pass from Bo Nix (Wil Lutz kick),13,17
,12:29,Broncos,Nik Bonitto 50 yard fumble return (Wil Lutz kick),13,24
,5:48,Broncos,Courtland Sutton 20 yard pass from Bo Nix (Wil Lutz kick),13,31
