Quarter,Time,Tm,Detail,CAR,CHI
1.0,8:54,Panthers,Chuba Hubbard 38 yard rush (Eddy Pi̱eiro kick),7,0
,5:44,Bears,D.J. Moore 34 yard pass from Caleb Williams (Cairo Santos kick),7,7
2.0,10:44,Bears,Roschon Johnson 1 yard rush (Cairo Santos kick),7,14
,2:14,Bears,D'Andre Swift 1 yard rush (Cairo Santos kick),7,21
,0:24,Bears,D.J. Moore 30 yard pass from Caleb Williams (Cairo Santos kick failed),7,27
3.0,6:25,Bears,Cairo Santos 33 yard field goal,7,30
,2:10,Panthers,Eddy Pi̱eiro 27 yard field goal,10,30
4.0,4:23,Bears,Roschon Johnson 1 yard rush (pass failed),10,36
