Quarter,Time,Tm,Detail,CIN,CLE
1.0,14:48,Bengals,Charlie Jones 100 yard kickoff return (Evan McPherson kick),7,0
2.0,0:56,Browns,Nick Chubb 1 yard rush (Dustin Hopkins kick failed),7,6
3.0,7:56,Bengals,Ja'Marr Chase 18 yard pass from Joe Burrow (Evan McPherson kick),14,6
,1:30,Bengals,Tee Higgins 25 yard pass from Joe Burrow (Evan McPherson kick),21,6
4.0,1:27,Browns,David Njoku 8 yard pass from Jameis Winston (Cedric Tillman pass from Jameis Winston),21,14
