Quarter,Time,Tm,Detail,CLE,NOR
1.0,9:54,Saints,Taysom Hill 10 yard rush (Blake Grupe kick),0,7
,1:52,Browns,Jerry Jeudy 89 yard pass from Jameis Winston (pass failed),6,7
2.0,12:40,Saints,Marquez Valdes-Scantling 71 yard pass from Derek Carr (Blake Grupe kick),6,14
3.0,8:49,Browns,Elijah Moore 30 yard pass from Jameis Winston (David Njoku pass from Jameis Winston),14,14
4.0,13:22,Saints,Taysom Hill 33 yard rush (Blake Grupe kick),14,21
,6:04,Saints,Juwan Johnson 1 yard pass from Derek Carr (Blake Grupe kick),14,28
,2:26,Saints,Taysom Hill 75 yard rush (Blake Grupe kick),14,35
