Quarter,Time,Tm,Detail,MIA,CLE
1.0,5:46,Dolphins,Jason Sanders 54 yard field goal,3,0
2.0,13:26,Browns,Dustin Hopkins 25 yard field goal,3,3
,0:00,Dolphins,Jason Sanders 39 yard field goal,6,3
3.0,11:04,Dolphins,Tyler Huntley 13 yard rush (Jason Sanders kick),13,3
4.0,3:38,Dolphins,Jonnu Smith 7 yard pass from Tyler Huntley (Jason Sanders kick),20,3
