Quarter,Time,Tm,Detail,DEN,NYJ
2.0,14:51,Jets,Greg Zuerlein 23 yard field goal,0,3
,0:00,Jets,Greg Zuerlein 35 yard field goal,0,6
3.0,3:08,Broncos,Courtland Sutton 8 yard pass from Bo Nix (Wil Lutz kick),7,6
4.0,13:34,Jets,Greg Zuerlein 40 yard field goal,7,9
,8:55,Broncos,Wil Lutz 47 yard field goal,10,9
