Quarter,Time,Tm,Detail,CHI,WAS
1.0,8:51,Commanders,Austin Seibert 27 yard field goal,0,3
,1:04,Commanders,Austin Seibert 30 yard field goal,0,6
2.0,5:24,Commanders,Austin Seibert 28 yard field goal,0,9
3.0,5:48,Commanders,Austin Seibert 47 yard field goal,0,12
,0:43,Bears,D'Andre Swift 56 yard rush (Cairo Santos kick),7,12
4.0,0:25,Bears,Roschon Johnson 1 yard rush (Cole Kmet pass from Caleb Williams),15,12
,0:00,Commanders,Noah Brown 52 yard pass from Jayden Daniels,15,18
