Quarter,Time,Tm,Detail,IND,MIN
2.0,10:56,Colts,Kenny Moore 38 yard fumble return (Matt Gay kick),7,0
3.0,10:23,Vikings,Jordan Addison 4 yard pass from Sam Darnold (Will Reichard kick),7,7
,2:49,Vikings,Jalen Nailor 7 yard pass from Sam Darnold (Will Reichard kick),7,14
4.0,12:41,Colts,Matt Gay 42 yard field goal,10,14
,2:05,Vikings,Josh Oliver 14 yard pass from Sam Darnold (Will Reichard kick),10,21
,0:28,Colts,Matt Gay 54 yard field goal,13,21
