Quarter,Time,Tm,Detail,DET,GNB
1.0,7:06,Packers,Brandon McManus 30 yard field goal,0,3
2.0,14:56,Lions,Amon-Ra St. Brown 3 yard pass from Jared Goff (Jake Bates kick),7,3
,0:58,Lions,Jake Bates 27 yard field goal,10,3
,0:32,Lions,Kerby Joseph 27 yard interception return (Jake Bates kick),17,3
3.0,9:32,Lions,Jahmyr Gibbs 15 yard rush (Jake Bates kick),24,3
,0:48,Packers,Brandon McManus 38 yard field goal,24,6
4.0,3:49,Packers,Emanuel Wilson 2 yard rush (Christian Watson pass from Jordan Love),24,14
