Quarter,Time,Tm,Detail,DEN,BAL
1.0,2:18,Ravens,Derrick Henry 7 yard rush (Justin Tucker kick),0,7
2.0,12:04,Ravens,Justin Tucker 33 yard field goal,0,10
,7:15,Broncos,Bo Nix 2 yard pass from Courtland Sutton (Wil Lutz kick),7,10
,3:47,Ravens,Zay Flowers 7 yard pass from Lamar Jackson (Justin Tucker kick),7,17
,0:54,Broncos,Wil Lutz 37 yard field goal,10,17
,0:16,Ravens,Zay Flowers 53 yard pass from Lamar Jackson (Justin Tucker kick),10,24
3.0,9:36,Ravens,Derrick Henry 6 yard rush (Justin Tucker kick),10,31
,1:21,Ravens,Patrick Ricard 3 yard pass from Lamar Jackson (Justin Tucker kick),10,38
4.0,12:49,Ravens,Justin Tucker 37 yard field goal,10,41
