Quarter,Time,Tm,Detail,CLE,PHI
2.0,13:02,Eagles,Jake Elliott 49 yard field goal,0,3
,7:17,Eagles,A.J. Brown 22 yard pass from Jalen Hurts (Jake Elliott kick),0,10
,1:58,Browns,Dustin Hopkins 43 yard field goal,3,10
,0:14,Browns,Rodney McLeod 50 yard blocked field goal return (Dustin Hopkins kick),10,10
3.0,2:50,Eagles,Jake Elliott 44 yard field goal,10,13
4.0,9:49,Browns,Dustin Hopkins 49 yard field goal,13,13
,7:54,Eagles,DeVonta Smith 45 yard pass from Jalen Hurts (Jake Elliott kick),13,20
,3:54,Browns,Dustin Hopkins 31 yard field goal,16,20
