Quarter,Time,Tm,Detail,BAL,HOU
1.0,10:08,Ravens,Derrick Henry 2 yard rush (Justin Tucker kick),7,0
,2:47,Ravens,Justin Tucker 52 yard field goal,10,0
2.0,10:09,Texans,"Safety, Derrick Henry tackled in end zone by Kamari Lassiter",10,2
,1:51,Ravens,Isaiah Likely 9 yard pass from Lamar Jackson (Justin Tucker kick),17,2
3.0,13:22,Ravens,Lamar Jackson 48 yard rush (Justin Tucker kick),24,2
,5:50,Ravens,Mark Andrews 1 yard pass from Lamar Jackson (Justin Tucker kick),31,2
