Quarter,Time,Tm,Detail,BAL,DAL
1.0,9:36,Ravens,Lamar Jackson 9 yard rush (Justin Tucker kick),7,0
,6:33,Cowboys,Brandon Aubrey 65 yard field goal,7,3
,2:41,Ravens,Derrick Henry 1 yard rush (Justin Tucker kick),14,3
2.0,0:25,Ravens,Rashod Bateman 13 yard pass from Lamar Jackson (Justin Tucker kick),21,3
,0:02,Cowboys,Brandon Aubrey 51 yard field goal,21,6
3.0,11:58,Ravens,Derrick Henry 26 yard rush (Justin Tucker kick),28,6
4.0,8:53,Cowboys,Dak Prescott 1 yard rush (pass failed),28,12
,7:07,Cowboys,Jalen Tolbert 15 yard pass from Dak Prescott (pass failed),28,18
,2:53,Cowboys,KaVontae Turpin 16 yard pass from Dak Prescott (Brandon Aubrey kick),28,25
