Quarter,Time,Tm,Detail,TAM,NYG
1.0,6:37,Buccaneers,Sean Tucker 1 yard rush (Chase McLaughlin kick),7,0
2.0,12:03,Buccaneers,Chase McLaughlin 23 yard field goal,10,0
,6:23,Buccaneers,Bucky Irving 6 yard rush (Chase McLaughlin kick),17,0
,0:12,Buccaneers,Baker Mayfield 10 yard rush (Chase McLaughlin kick failed),23,0
3.0,3:45,Buccaneers,Rachaad White 1 yard rush (Chase McLaughlin kick),30,0
4.0,11:28,Giants,Devin Singletary 1 yard rush (Graham Gano kick),30,7
