Quarter,Time,Tm,Detail,SEA,ATL
1.0,10:05,Seahawks,Jason Myers 38 yard field goal,3,0
2.0,9:52,Seahawks,Kenneth Walker III 20 yard rush (Jason Myers kick),10,0
,5:18,Falcons,Bijan Robinson 5 yard rush (Younghoe Koo kick),10,7
,0:04,Seahawks,D.K. Metcalf 31 yard pass from Geno Smith (Jason Myers kick),17,7
3.0,7:43,Falcons,Drake London 5 yard pass from Kirk Cousins (Younghoe Koo kick),17,14
,3:18,Seahawks,Kenneth Walker III 17 yard pass from Geno Smith (Jason Myers kick),24,14
4.0,12:46,Seahawks,Derick Hall 36 yard fumble return (Jason Myers kick),31,14
,7:10,Seahawks,Jason Myers 59 yard field goal,34,14
