Quarter,Time,Tm,Detail,ATL,PHI
2.0,11:22,Falcons,Younghoe Koo 39 yard field goal,3,0
,5:15,Eagles,DeVonta Smith 7 yard pass from Jalen Hurts (Jake Elliott kick),3,7
,0:06,Falcons,Younghoe Koo 22 yard field goal,6,7
3.0,10:12,Falcons,Younghoe Koo 34 yard field goal,9,7
,4:28,Eagles,Jake Elliott 29 yard field goal,9,10
,1:21,Falcons,Darnell Mooney 41 yard pass from Kirk Cousins (pass failed),15,10
4.0,6:47,Eagles,Jalen Hurts 1 yard rush (Saquon Barkley run),15,18
,1:39,Eagles,Jake Elliott 28 yard field goal,15,21
,0:34,Falcons,Drake London 7 yard pass from Kirk Cousins (Younghoe Koo kick),22,21
