Quarter,Time,Tm,Detail,DEN,KAN
2.0,14:20,Broncos,Devaughn Vele 6 yard pass from Bo Nix (Wil Lutz kick),7,0
,9:02,Chiefs,Harrison Butker 36 yard field goal,7,3
,6:39,Broncos,Courtland Sutton 32 yard pass from Bo Nix (Wil Lutz kick),14,3
,1:44,Chiefs,Travis Kelce 2 yard pass from Patrick Mahomes (Harrison Butker kick),14,10
3.0,3:51,Chiefs,Harrison Butker 28 yard field goal,14,13
4.0,5:57,Chiefs,Harrison Butker 20 yard field goal,14,16
