Quarter,Time,Tm,Detail,IND,TEN
1.0,11:17,Colts,Josh Downs 22 yard pass from Joe Flacco (Matt Gay kick),7,0
,6:51,Titans,Nick Westbrook-Ikhine 9 yard pass from Will Levis (Nick Folk kick),7,7
2.0,11:09,Titans,Nick Folk 44 yard field goal,7,10
,0:19,Colts,Matt Gay 26 yard field goal,10,10
3.0,6:19,Titans,Tony Pollard 23 yard rush (Nick Folk kick),10,17
4.0,14:57,Colts,Matt Gay 22 yard field goal,13,17
,7:27,Colts,Michael Pittman Jr. 10 yard pass from Joe Flacco (Matt Gay kick),20,17
