Quarter,Time,Tm,Detail,IND,GNB
1.0,10:30,Packers,Brayden Narveson 46 yard field goal,0,3
,3:18,Packers,Dontayvion Wicks 14 yard pass from Malik Willis (Brayden Narveson kick),0,10
3.0,8:25,Packers,Brayden Narveson 42 yard field goal,0,13
,4:32,Colts,Matt Gay 34 yard field goal,3,13
4.0,10:50,Packers,Brayden Narveson 34 yard field goal,3,16
,1:47,Colts,Alec Pierce 4 yard pass from Anthony Richardson (Matt Gay kick),10,16
