Quarter,Time,Tm,Detail,HOU,JAX
2.0,14:51,Texans,Ka'imi Fairbairn 53 yard field goal,3,0
,6:26,Texans,Ka'imi Fairbairn 30 yard field goal,6,0
,0:08,Jaguars,Cam Little 33 yard field goal,6,3
3.0,10:06,Jaguars,Cam Little 30 yard field goal,6,6
,8:04,Texans,Joe Mixon 7 yard rush (Ka'imi Fairbairn kick),13,6
,1:16,Texans,Ka'imi Fairbairn 28 yard field goal,16,6
4.0,12:11,Texans,Dalton Schultz 22 yard pass from C.J. Stroud (Ka'imi Fairbairn kick),23,6
,7:49,Jaguars,Parker Washington 22 yard pass from Mac Jones (pass failed),23,12
,3:31,Jaguars,Brian Thomas 6 yard pass from Mac Jones (Parker Washington pass from Mac Jones),23,20
