Quarter,Time,Tm,Detail,CIN,PIT
1.0,9:49,Bengals,Ja'Marr Chase 12 yard pass from Joe Burrow (Cade York kick),7,0
,1:24,Bengals,Cade York 48 yard field goal,10,0
2.0,9:54,Steelers,Najee Harris 1 yard rush (Chris Boswell kick),10,7
,0:16,Bengals,Cade York 27 yard field goal,13,7
3.0,6:56,Bengals,Cade York 35 yard field goal,16,7
4.0,11:02,Bengals,Cade York 23 yard field goal,19,7
,8:07,Steelers,Pat Freiermuth 19 yard pass from Russell Wilson (Chris Boswell kick),19,14
,2:39,Steelers,Chris Boswell 54 yard field goal,19,17
