Quarter,Time,Tm,Detail,HOU,GNB
1.0,11:48,Texans,Ka'imi Fairbairn 23 yard field goal,3,0
2.0,13:16,Packers,Tucker Kraft 14 yard pass from Jordan Love (Brandon McManus kick),3,7
,11:52,Texans,Joe Mixon 2 yard rush (Ka'imi Fairbairn kick),10,7
,8:51,Packers,Dontayvion Wicks 30 yard pass from Jordan Love (Brandon McManus kick),10,14
,4:30,Texans,Ka'imi Fairbairn 52 yard field goal,13,14
,1:13,Texans,Joe Mixon 4 yard rush (run failed),19,14
3.0,7:25,Packers,Josh Jacobs 8 yard pass from Jordan Love (Brandon McManus kick),19,21
4.0,1:44,Texans,Ka'imi Fairbairn 35 yard field goal,22,21
,0:00,Packers,Brandon McManus 45 yard field goal,22,24
