Quarter,Time,Tm,Detail,NYJ,MIN
1.0,7:41,Vikings,Will Reichard 54 yard field goal,0,3
,2:18,Vikings,Andrew Van Ginkel 63 yard interception return (Will Reichard kick),0,10
2.0,3:58,Vikings,C.J. Ham 2 yard rush (Will Reichard kick),0,17
,0:36,Jets,Allen Lazard 14 yard pass from Aaron Rodgers (Greg Zuerlein kick),7,17
3.0,0:50,Jets,Greg Zuerlein 32 yard field goal,10,17
4.0,12:07,Vikings,Will Reichard 53 yard field goal,10,20
,6:04,Jets,Garrett Wilson 1 yard pass from Aaron Rodgers (Greg Zuerlein kick),17,20
,3:07,Vikings,Will Reichard 41 yard field goal,17,23
