Quarter,Time,Tm,Detail,PIT,WAS
1.0,8:33,Steelers,George Pickens 16 yard pass from Russell Wilson (Chris Boswell kick),7,0
,3:44,Commanders,Austin Ekeler 1 yard rush (Zane Gonzalez kick),7,7
2.0,10:28,Steelers,Pat Freiermuth 3 yard pass from Russell Wilson (Chris Boswell kick),14,7
,8:11,Commanders,Zane Gonzalez 48 yard field goal,14,10
,0:16,Commanders,Austin Ekeler 1 yard rush (Zane Gonzalez kick),14,17
3.0,12:55,Commanders,Jeremy McNichols 1 yard rush (Zane Gonzalez kick),14,24
,8:06,Steelers,Najee Harris 1 yard rush (Chris Boswell kick),21,24
,2:51,Commanders,Zane Gonzalez 41 yard field goal,21,27
4.0,2:22,Steelers,Mike Williams 32 yard pass from Russell Wilson (Chris Boswell kick),28,27
