Quarter,Time,Tm,Detail,MIN,SEA
1.0,8:06,Vikings,Jordan Addison 5 yard pass from Sam Darnold (Will Reichard kick),7,0
2.0,13:35,Seahawks,D.K. Metcalf 25 yard pass from Geno Smith (Jason Myers kick),7,7
,5:50,Vikings,Justin Jefferson 14 yard pass from Sam Darnold (Will Reichard kick),14,7
,3:33,Vikings,Will Reichard 52 yard field goal,17,7
,0:20,Seahawks,Jaxon Smith-Njigba 18 yard pass from Geno Smith (Jason Myers kick),17,14
3.0,10:37,Seahawks,Jason Myers 43 yard field goal,17,17
,6:25,Vikings,Will Reichard 48 yard field goal,20,17
4.0,4:21,Seahawks,AJ Barner 4 yard pass from Geno Smith (Jason Myers kick),20,24
,3:51,Vikings,Justin Jefferson 39 yard pass from Sam Darnold (Will Reichard kick),27,24
