Quarter,Time,Tm,Detail,NWE,MIA
2.0,14:10,Dolphins,Jonnu Smith 7 yard pass from Tua Tagovailoa (Jason Sanders kick),0,7
,7:50,Dolphins,De'Von Achane 9 yard pass from Tua Tagovailoa (Jason Sanders kick),0,14
,1:50,Dolphins,De'Von Achane 11 yard pass from Tua Tagovailoa (Jason Sanders kick),0,21
,0:02,Dolphins,Jason Sanders 21 yard field goal,0,24
3.0,1:37,Dolphins,Jaylen Waddle 23 yard pass from Tua Tagovailoa (Jason Sanders kick),0,31
4.0,13:43,Patriots,Austin Hooper 38 yard pass from Drake Maye (Joey Slye kick),7,31
,10:10,Patriots,Christian Gonzalez 63 yard fumble return (Rhamondre Stevenson pass from Drake Maye),15,31
,3:33,Dolphins,Jason Sanders 51 yard field goal,15,34
