Quarter,Time,Tm,Detail,NYG,PHI
1.0,6:51,Eagles,Ainias Smith 15 yard pass from Tanner McKee (Jake Elliott kick),0,7
2.0,1:44,Eagles,Jake Elliott 24 yard field goal,0,10
3.0,7:34,Giants,Graham Gano 25 yard field goal,3,10
4.0,14:55,Eagles,E.J. Jenkins 7 yard pass from Tanner McKee (Jake Elliott kick),3,17
,10:32,Giants,Malik Nabers 45 yard pass from Drew Lock (Graham Gano kick),10,17
,7:21,Giants,Graham Gano 53 yard field goal,13,17
,0:47,Eagles,Jake Elliott 32 yard field goal,13,20
