Quarter,Time,Tm,Detail,CAR,PHI
1.0,1:09,Panthers,Eddy Pi̱eiro 38 yard field goal,3,0
2.0,11:48,Eagles,Jalen Hurts 1 yard rush (Jake Elliott kick),3,7
,4:00,Panthers,Tommy Tremble 3 yard pass from Bryce Young (Eddy Pi̱eiro kick),10,7
,0:14,Eagles,DeVonta Smith 4 yard pass from Jalen Hurts (Jake Elliott kick),10,14
3.0,2:49,Panthers,Chuba Hubbard 1 yard rush (Eddy Pi̱eiro kick failed),16,14
4.0,13:45,Eagles,Grant Calcaterra 4 yard pass from Jalen Hurts (Saquon Barkley run),16,22
