Quarter,Time,Tm,Detail,MIN,JAX
1.0,7:56,Vikings,John Parker Romo 45 yard field goal,3,0
,3:44,Jaguars,Mac Jones 1 yard rush (Cam Little kick),3,7
3.0,1:42,Vikings,John Parker Romo 33 yard field goal,6,7
4.0,7:14,Vikings,John Parker Romo 34 yard field goal,9,7
,4:22,Vikings,John Parker Romo 29 yard field goal,12,7
