Quarter,Time,Tm,Detail,MIA,IND
1.0,5:56,Dolphins,Jonnu Smith 10 yard pass from Tyler Huntley (Jason Sanders kick),7,0
2.0,0:22,Dolphins,Jason Sanders 33 yard field goal,10,0
,0:00,Colts,Matt Gay 52 yard field goal,10,3
3.0,9:08,Colts,Tyler Goodson 7 yard rush (Matt Gay kick),10,10
4.0,8:41,Colts,Matt Gay 22 yard field goal,10,13
,1:51,Colts,Matt Gay 38 yard field goal,10,16
