Quarter,Time,Tm,Detail,NOR,KAN
1.0,6:34,Chiefs,Kareem Hunt 5 yard rush (Harrison Butker kick),0,7
2.0,12:39,Chiefs,Harrison Butker 26 yard field goal,0,10
,8:36,Saints,Rashid Shaheed 43 yard pass from Derek Carr (Blake Grupe kick),7,10
,1:32,Chiefs,Harrison Butker 34 yard field goal,7,13
,0:06,Chiefs,Harrison Butker 28 yard field goal,7,16
4.0,14:16,Saints,Foster Moreau 6 yard pass from Derek Carr (Blake Grupe kick failed),13,16
,11:56,Chiefs,Xavier Worthy 3 yard rush (Harrison Butker kick),13,23
,3:03,Chiefs,Harrison Butker 38 yard field goal,13,26
