Quarter,Time,Tm,Detail,BUF,MIA
1.0,9:49,Bills,James Cook 17 yard pass from Josh Allen (Tyler Bass kick),7,0
,3:21,Dolphins,De'Von Achane 5 yard pass from Tua Tagovailoa (Jason Sanders kick),7,7
2.0,12:41,Bills,Tyler Bass 43 yard field goal,10,7
,6:25,Bills,James Cook 1 yard rush (Tyler Bass kick),17,7
,3:36,Bills,James Cook 49 yard rush (Tyler Bass kick),24,7
,0:04,Dolphins,Jason Sanders 34 yard field goal,24,10
3.0,9:27,Bills,Ja'Marcus Ingram 31 yard interception return (Tyler Bass kick),31,10
