Quarter,Time,Tm,Detail,BUF,NWE
1.0,4:25,Patriots,Joe Milton 1 yard rush (Joey Slye kick),0,7
2.0,12:09,Bills,Ray Davis 2 yard pass from Mitchell Trubisky (Tyler Bass kick),7,7
,9:10,Patriots,Kayshon Boutte 48 yard pass from Joe Milton (Joey Slye kick),7,14
,4:39,Bills,Tyler Bass 49 yard field goal,10,14
3.0,7:56,Bills,James Cook 1 yard rush (Tyler Bass kick failed),16,14
,1:00,Patriots,Joey Slye 41 yard field goal,16,17
4.0,8:53,Patriots,Joey Slye 42 yard field goal,16,20
,1:55,Patriots,Joey Slye 50 yard field goal,16,23
