Quarter,Time,Tm,Detail,CHI,GNB
1.0,6:34,Bears,Josh Blackwell 94 yard punt return (Cairo Santos kick),7,0
,2:24,Packers,Brandon McManus 37 yard field goal,7,3
2.0,14:17,Bears,D'Andre Swift 4 yard rush (Cairo Santos kick),14,3
,11:12,Packers,Josh Jacobs 9 yard rush (Brandon McManus kick),14,10
,1:57,Packers,Brandon McManus 30 yard field goal,14,13
4.0,10:02,Bears,D.J. Moore 32 yard pass from Caleb Williams (Cairo Santos kick),21,13
,4:28,Packers,Emanuel Wilson 21 yard rush (pass failed),21,19
,0:54,Packers,Brandon McManus 55 yard field goal,21,22
,0:00,Bears,Cairo Santos 51 yard field goal,24,22
