Quarter,Time,Tm,Detail,LAC,CAR
1.0,9:20,Chargers,Quentin Johnston 29 yard pass from Justin Herbert (Cameron Dicker kick failed),6,0
2.0,4:16,Chargers,Quentin Johnston 5 yard pass from Justin Herbert (Cameron Dicker kick),13,0
,2:01,Chargers,J.K. Dobbins 43 yard rush (Cameron Dicker kick),20,0
3.0,12:18,Panthers,Eddy Pi̱eiro 38 yard field goal,20,3
,9:03,Chargers,Cameron Dicker 46 yard field goal,23,3
4.0,11:02,Chargers,Cameron Dicker 42 yard field goal,26,3
