Quarter,Time,Tm,Detail,GNB,MIN
1.0,1:47,Packers,Brandon McManus 22 yard field goal,3,0
2.0,11:52,Vikings,Jalen Nailor 31 yard pass from Sam Darnold (Will Reichard kick),3,7
,2:16,Vikings,Will Reichard 25 yard field goal,3,10
,0:00,Vikings,Will Reichard 50 yard field goal,3,13
3.0,9:44,Vikings,Jordan Addison 18 yard pass from Sam Darnold (Will Reichard kick),3,20
,5:07,Packers,Josh Jacobs 2 yard rush (Brandon McManus kick),10,20
,0:51,Vikings,Cam Akers 9 yard pass from Sam Darnold (Will Reichard kick),10,27
4.0,6:12,Packers,Emanuel Wilson 5 yard rush (Romeo Doubs pass from Jordan Love),18,27
,2:18,Packers,Malik Heath 3 yard pass from Jordan Love (Brandon McManus kick),25,27
