Quarter,Time,Tm,Detail,NYJ,PIT
1.0,11:33,Steelers,Chris Boswell 46 yard field goal,0,3
,2:27,Jets,Breece Hall 13 yard rush (Greg Zuerlein kick),7,3
2.0,8:20,Steelers,Chris Boswell 29 yard field goal,7,6
,5:29,Jets,Tyler Conklin 1 yard pass from Aaron Rodgers (Garrett Wilson pass from Aaron Rodgers),15,6
,0:27,Steelers,George Pickens 11 yard pass from Russell Wilson (Chris Boswell kick),15,13
3.0,7:49,Steelers,Chris Boswell 21 yard field goal,15,16
,7:15,Steelers,Russell Wilson 1 yard rush (Chris Boswell kick),15,23
4.0,12:09,Steelers,Van Jefferson 4 yard pass from Russell Wilson (Chris Boswell kick),15,30
,0:26,Steelers,Najee Harris 10 yard rush (Chris Boswell kick),15,37
