Quarter,Time,Tm,Detail,PIT,PHI
1.0,9:56,Eagles,Jake Elliott 34 yard field goal,0,3
,3:42,Steelers,Chris Boswell 37 yard field goal,3,3
,1:13,Eagles,A.J. Brown 5 yard pass from Jalen Hurts (Jake Elliott kick),3,10
2.0,9:07,Eagles,DeVonta Smith 2 yard pass from Jalen Hurts (Jake Elliott kick),3,17
,2:34,Steelers,Pat Freiermuth 9 yard pass from Russell Wilson (Chris Boswell kick),10,17
,0:37,Steelers,Chris Boswell 49 yard field goal,13,17
3.0,7:52,Eagles,Jake Elliott 41 yard field goal,13,20
4.0,14:17,Eagles,Jalen Hurts 1 yard rush (Jake Elliott kick),13,27
