Quarter,Time,Tm,Detail,KAN,DEN
1.0,11:55,Broncos,Marvin Mims 32 yard pass from Bo Nix (Wil Lutz kick),0,7
,4:53,Broncos,Courtland Sutton 10 yard pass from Bo Nix (Wil Lutz kick),0,14
2.0,6:46,Broncos,Devaughn Vele 3 yard pass from Bo Nix (Wil Lutz kick),0,21
,0:03,Broncos,Wil Lutz 33 yard field goal,0,24
3.0,2:49,Broncos,Marvin Mims 7 yard pass from Bo Nix (Wil Lutz kick),0,31
4.0,9:40,Broncos,Audric Estime 1 yard rush (Wil Lutz kick),0,38
