Quarter,Time,Tm,Detail,DAL,CAR
2.0,9:01,Cowboys,CeeDee Lamb 14 yard pass from Cooper Rush (Brandon Aubrey kick),7,0
,4:05,Cowboys,Brandon Aubrey 52 yard field goal,10,0
,0:31,Panthers,Jalen Coker 83 yard pass from Bryce Young (Eddy Pi̱eiro kick),10,7
3.0,12:46,Cowboys,Jalen Tolbert 11 yard pass from Cooper Rush (Brandon Aubrey kick),17,7
,6:55,Cowboys,Jalen Brooks 17 yard pass from Cooper Rush (Brandon Aubrey kick),24,7
4.0,14:12,Cowboys,Brandon Aubrey 45 yard field goal,27,7
,9:13,Panthers,Bryce Young 6 yard rush (Eddy Pi̱eiro kick),27,14
,6:09,Cowboys,Brandon Aubrey 41 yard field goal,30,14
