Quarter,Time,Tm,Detail,LAC,KAN
1.0,10:05,Chiefs,Matthew Wright 47 yard field goal,0,3
2.0,7:47,Chiefs,Matthew Wright 33 yard field goal,0,6
,0:47,Chiefs,DeAndre Hopkins 9 yard pass from Patrick Mahomes (Matthew Wright kick),0,13
3.0,7:12,Chargers,Gus Edwards 3 yard rush (Cameron Dicker kick),7,13
,3:30,Chargers,Quentin Johnston 4 yard pass from Justin Herbert (Cameron Dicker kick),14,13
4.0,13:04,Chiefs,Matthew Wright 50 yard field goal,14,16
,4:35,Chargers,Cameron Dicker 37 yard field goal,17,16
,0:00,Chiefs,Matthew Wright 31 yard field goal,17,19
