Quarter,Time,Tm,Detail,DET,CHI
1.0,9:35,Lions,Jake Bates 30 yard field goal,3,0
,5:34,Lions,Jahmyr Gibbs 1 yard rush (Jake Bates kick),10,0
,0:02,Lions,Jake Bates 34 yard field goal,13,0
2.0,12:49,Lions,Jameson Williams 82 yard pass from Jared Goff (Jake Bates kick),20,0
,6:31,Bears,Cole Kmet 1 yard pass from Caleb Williams (Cairo Santos kick),20,7
,0:58,Lions,Amon-Ra St. Brown 8 yard pass from Jared Goff (Jake Bates kick),27,7
,0:39,Bears,Keenan Allen 45 yard pass from Caleb Williams (Cairo Santos kick),27,14
3.0,12:18,Lions,Sam LaPorta 21 yard pass from Jared Goff (Jake Bates kick),34,14
,6:03,Bears,Cairo Santos 30 yard field goal,34,17
