Quarter,Time,Tm,Detail,TEN,CHI
1.0,0:41,Titans,Tony Pollard 26 yard rush (Nick Folk kick),7,0
2.0,14:06,Titans,Nick Folk 40 yard field goal,10,0
,3:44,Titans,Chigoziem Okonkwo 17 yard pass from Will Levis (Nick Folk kick),17,0
,0:27,Bears,Cairo Santos 24 yard field goal,17,3
3.0,9:07,Bears,Jonathan Owens 21 yard blocked punt return (Cairo Santos kick),17,10
4.0,14:47,Bears,Cairo Santos 50 yard field goal,17,13
,9:52,Bears,Cairo Santos 48 yard field goal,17,16
,7:35,Bears,Tyrique Stevenson 43 yard interception return (D'Andre Swift pass from Caleb Williams),17,24
