Quarter,Time,Tm,Detail,MIA,NYJ
1.0,11:46,Dolphins,Jason Sanders 26 yard field goal,3,0
,0:00,Dolphins,Jason Sanders 28 yard field goal,6,0
2.0,7:57,Jets,Tyler Conklin 5 yard pass from Aaron Rodgers (Greg Joseph kick),6,7
,0:59,Jets,Allen Lazard 13 yard pass from Aaron Rodgers (Breece Hall run),6,15
3.0,6:35,Jets,Greg Joseph 20 yard field goal,6,18
4.0,14:12,Dolphins,De'Von Achane 15 yard rush (Jason Sanders kick),13,18
,10:24,Jets,Davante Adams 4 yard pass from Aaron Rodgers (Greg Joseph kick),13,25
,5:21,Dolphins,Jonnu Smith 4 yard pass from Tyler Huntley (Jason Sanders kick),20,25
,2:30,Jets,Breece Hall 6 yard pass from Aaron Rodgers (Greg Joseph kick),20,32
