Quarter,Time,Tm,Detail,LAC,ATL
1.0,3:59,Falcons,Bijan Robinson 2 yard rush (Younghoe Koo kick),0,7
,1:39,Chargers,Cameron Dicker 45 yard field goal,3,7
2.0,11:08,Chargers,Cameron Dicker 51 yard field goal,6,7
,0:58,Chargers,Cameron Dicker 34 yard field goal,9,7
3.0,7:23,Falcons,Younghoe Koo 41 yard field goal,9,10
,1:39,Chargers,Tarheeb Still 61 yard interception return (Josh Palmer pass from Justin Herbert),17,10
,0:03,Falcons,Younghoe Koo 26 yard field goal,17,13
