Quarter,Time,Tm,Detail,CAR,TAM
1.0,11:35,Buccaneers,Mike Evans 2 yard pass from Baker Mayfield (Chase McLaughlin kick),0,7
,8:15,Panthers,Adam Thielen 17 yard pass from Bryce Young (Eddy Pi̱eiro kick),7,7
,1:13,Buccaneers,Chase McLaughlin 23 yard field goal,7,10
2.0,10:31,Buccaneers,Chase McLaughlin 34 yard field goal,7,13
,8:19,Buccaneers,Mike Evans 1 yard pass from Baker Mayfield (Chase McLaughlin kick),7,20
,1:11,Buccaneers,Jalen McMillan 10 yard pass from Baker Mayfield (Chase McLaughlin kick),7,27
,0:50,Panthers,Adam Thielen 40 yard pass from Bryce Young (Eddy Pi̱eiro kick),14,27
3.0,5:48,Buccaneers,Payne Durham 5 yard pass from Baker Mayfield (Chase McLaughlin kick),14,34
,5:23,Buccaneers,J.J. Russell 23 yard blocked punt return (Chase McLaughlin kick),14,41
4.0,13:30,Buccaneers,Jalen McMillan 16 yard pass from Baker Mayfield (Chase McLaughlin kick),14,48
