Quarter,Time,Tm,Detail,NYG,CLE
1.0,14:49,Browns,Amari Cooper 24 yard pass from Deshaun Watson (Dustin Hopkins kick),0,7
,2:07,Giants,Devin Singletary 1 yard rush (Greg Joseph kick),7,7
2.0,1:44,Giants,Malik Nabers 3 yard pass from Daniel Jones (Greg Joseph kick),14,7
,0:11,Giants,Malik Nabers 5 yard pass from Daniel Jones (Greg Joseph kick),21,7
4.0,11:33,Browns,Amari Cooper 6 yard pass from Deshaun Watson (Jerry Jeudy pass from Deshaun Watson),21,15
