Quarter,Time,Tm,Detail,CAR,DEN
1.0,7:12,Panthers,Xavier Legette 6 yard pass from Bryce Young (Eddy Pi̱eiro kick),7,0
2.0,12:29,Broncos,Nate Adkins 3 yard pass from Bo Nix (Wil Lutz kick),7,7
,6:51,Broncos,Adam Trautman 19 yard pass from Bo Nix (Wil Lutz kick),7,14
,1:12,Broncos,Bo Nix 1 yard rush (Wil Lutz kick),7,21
3.0,6:49,Broncos,Jaleel McLaughlin 9 yard pass from Bo Nix (Wil Lutz kick),7,28
4.0,0:18,Panthers,Jalen Coker 15 yard pass from Bryce Young (Eddy Pi̱eiro kick),14,28
