Quarter,Time,Tm,Detail,CAR,NOR
1.0,12:08,Saints,Rashid Shaheed 59 yard pass from Derek Carr (Blake Grupe kick),0,7
,10:04,Saints,Blake Grupe 57 yard field goal,0,10
,1:23,Saints,Foster Moreau 3 yard pass from Derek Carr (Blake Grupe kick),0,17
2.0,7:03,Saints,Blake Grupe 44 yard field goal,0,20
,2:08,Saints,Blake Grupe 52 yard field goal,0,23
,1:18,Saints,Juwan Johnson 16 yard pass from Derek Carr (Blake Grupe kick),0,30
,0:00,Panthers,Eddy Pi̱eiro 43 yard field goal,3,30
3.0,8:27,Saints,Alvin Kamara 1 yard rush (Blake Grupe kick),3,37
,4:55,Panthers,Bryce Young 3 yard rush (Eddy Pi̱eiro kick),10,37
4.0,13:08,Saints,Blake Grupe 39 yard field goal,10,40
,10:38,Saints,Jamaal Williams 14 yard rush (Blake Grupe kick),10,47
