Quarter,Time,Tm,Detail,IND,HOU
1.0,11:15,Texans,Ka'imi Fairbairn 35 yard field goal,0,3
,10:00,Colts,Matt Gay 46 yard field goal,3,3
,0:50,Colts,Josh Downs 69 yard pass from Anthony Richardson (Matt Gay kick),10,3
2.0,10:04,Texans,Joe Mixon 14 yard rush (Ka'imi Fairbairn kick),10,10
,0:17,Texans,Tank Dell 7 yard pass from C.J. Stroud (Ka'imi Fairbairn kick),10,17
3.0,7:52,Texans,Ka'imi Fairbairn 35 yard field goal,10,20
,2:01,Colts,Matt Gay 37 yard field goal,13,20
4.0,12:21,Texans,Ka'imi Fairbairn 34 yard field goal,13,23
,8:32,Colts,Jonathan Taylor 1 yard rush (Matt Gay kick),20,23
