Quarter,Time,Tm,Detail,CLE,BAL
1.0,8:32,Ravens,Nate Wiggins 26 yard interception return (Justin Tucker kick),0,7
2.0,11:03,Ravens,Mark Andrews 12 yard pass from Lamar Jackson (Justin Tucker kick),0,14
,6:33,Browns,Dustin Hopkins 23 yard field goal,3,14
3.0,10:42,Ravens,Rashod Bateman 7 yard pass from Lamar Jackson (Justin Tucker kick),3,21
4.0,11:33,Browns,Jordan Akins 16 yard pass from Bailey Zappe (Dustin Hopkins kick),10,21
,6:44,Ravens,Derrick Henry 2 yard rush (Justin Tucker kick),10,28
,3:04,Ravens,Derrick Henry 43 yard rush (Justin Tucker kick),10,35
