Quarter,Time,Tm,Detail,DET,ARI
1.0,10:16,Lions,David Montgomery 1 yard rush (Jake Bates kick),7,0
,5:08,Cardinals,Marvin Harrison Jr. 10 yard pass from Kyler Murray (Matt Prater kick),7,7
2.0,12:27,Lions,Amon-Ra St. Brown 5 yard pass from Jared Goff (Jake Bates kick failed),13,7
,0:29,Lions,Jahmyr Gibbs 1 yard touchdown on a lateral (Jake Bates kick),20,7
,0:00,Cardinals,Matt Prater 42 yard field goal,20,10
4.0,3:48,Cardinals,Matt Prater 45 yard field goal,20,13
