Quarter,Time,Tm,Detail,NYJ,BUF
1.0,8:11,Bills,Josh Allen 1 yard rush (Tyler Bass kick),0,7
2.0,2:31,Bills,"Safety, Aaron Rodgers sacked in end zone by A.J. Epenesa",0,9
,0:00,Bills,Tyler Bass 39 yard field goal,0,12
3.0,5:13,Bills,Amari Cooper 30 yard pass from Josh Allen (Tyler Bass kick),0,19
,1:15,Bills,James Cook 1 yard rush (Tyler Bass kick),0,26
,0:12,Bills,Keon Coleman 14 yard pass from Josh Allen (Tyler Bass kick),0,33
4.0,12:37,Bills,Tyrell Shavers 69 yard pass from Mitchell Trubisky (Tyler Bass kick),0,40
,6:59,Jets,Garrett Wilson 9 yard pass from Tyrod Taylor (Tyler Conklin pass from Tyrod Taylor),8,40
,1:55,Jets,Tyler Conklin 20 yard pass from Tyrod Taylor (pass failed),14,40
