Quarter,Time,Tm,Detail,CHI,DET
1.0,7:06,Lions,Jake Bates 30 yard field goal,0,3
2.0,14:55,Lions,Sam LaPorta 3 yard pass from Jared Goff (Jake Bates kick),0,10
,7:15,Lions,Jake Bates 36 yard field goal,0,13
,3:11,Lions,Jake Bates 48 yard field goal,0,16
3.0,9:47,Bears,Keenan Allen 31 yard pass from Caleb Williams (Cairo Santos kick),7,16
,2:43,Lions,Sam LaPorta 1 yard pass from Jared Goff (Jake Bates kick),7,23
4.0,13:40,Bears,Keenan Allen 9 yard pass from Caleb Williams (pass failed),13,23
,5:36,Bears,D.J. Moore 31 yard pass from Caleb Williams (Cairo Santos kick),20,23
