Quarter,Time,Tm,Detail,CLE,LVR
1.0,5:38,Browns,Blake Whiteheart 1 yard pass from Deshaun Watson (Dustin Hopkins kick),7,0
,0:35,Browns,Dustin Hopkins 56 yard field goal,10,0
2.0,9:50,Raiders,Tre Tucker 3 yard rush (Daniel Carlson kick),10,7
,2:52,Raiders,Daniel Carlson 52 yard field goal,10,10
3.0,11:28,Raiders,Daniel Carlson 34 yard field goal,10,13
,5:23,Raiders,DJ Turner 18 yard rush (Daniel Carlson kick),10,20
4.0,14:50,Browns,Rodney McLeod 25 yard fumble return (Dustin Hopkins kick failed),16,20
